type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m
asian,115,1.0,0.02,1.338106673577457,0.5001267423456336,0.2852482846616997,0.1979809665946809,0.158605741530052,0.1347122208377671,0.5062672941979907,0.28691350732908333,0.1971337092392403,0.15622877430152915,0.13116455271461405,0.555674579357975,0.3117509151923016,0.21061589990621113,0.16371406028271263,0.1343995214961468,0.6287637383068011,0.3477947181678621,0.2288200963399473,0.17160870067769396,0.13382628276627656,0.7116032079109655,0.38670776298186976,0.2442285365232651,0.16881792766425557,0.0916808495997974
asian,120,1.0,0.02,1.2188239244963073,0.5642971259784925,0.3219892025763565,0.2236324802399331,0.17928085726909504,0.15238352784236606,0.5834826342880495,0.3311325840376134,0.2280168225957377,0.1811290886823024,0.15245444965019034,0.6138911008948962,0.34531385374329915,0.23431959636171068,0.18307199201158886,0.15119867150175637,0.6583672575047126,0.3652333789140807,0.24164309221949487,0.1826725341434094,0.1442321650625939,0.7332875254453795,0.400029806158844,0.255028236705477,0.18020254714769782,0.11829350552107455
asian,90,1.0,0.02,12.877367451866702,0.5787779377241592,0.33028333119219566,0.2294270100908455,0.18395428683174286,0.1563803379126354,0.5528065215557038,0.31355918853792536,0.21573642919432195,0.1712218206332744,0.14397852457135368,0.5687667777641761,0.3192991329947306,0.2159475789733891,0.168069490421163,0.13818109957109403,0.6225442732616651,0.34412408836688735,0.22610997859384405,0.16925443793408718,0.13158384460451553,0.709867272413095,0.38563688528068346,0.2433502579557429,0.16785981535576644,0.08744237437857356
asian,105,1.0,0.02,5.12875059788794,0.5838435871156518,0.33318504939711724,0.23145457837882,0.18558969821894075,0.1577792799706625,0.6051236646363919,0.34353453136617207,0.23668816421058636,0.18812862792499685,0.15844620505061072,0.6482165715120763,0.36510162281996794,0.2482909497353805,0.19447608536653868,0.16108681198674227,0.7147310479219459,0.39831270624295456,0.2657771354109064,0.20323842391189118,0.16316065482490016,0.8247742904872808,0.4553903992894758,0.2981701209036598,0.22147624886402886,0.1690498062865334
asian,115,1.0,0.02,1.5033586268777093,0.484029931081017,0.276036107054918,0.1915536258321679,0.1534286166448316,0.1302906797655449,0.5447732245517596,0.3089582073541288,0.21252282586494461,0.16863038227921856,0.14176262118195965,0.6256885346399409,0.352114892922856,0.23912181289717116,0.1869922185405393,0.15459839807062048,0.706642510784378,0.3935740150013231,0.26233283139071545,0.2003197313120566,0.16049889361904213,0.7883601139415859,0.43349030732192084,0.28136271356456005,0.20593208049750666,0.15224737960747267
asian,115,1.0,0.02,1.5799879034483537,0.4812959943328374,0.2744716494946132,0.19046225138275186,0.15254974439347854,0.1295401811004737,0.5438990145054493,0.3084575682642535,0.21217317176756423,0.1683484516404821,0.14152157632167994,0.5968710798480187,0.33550184510937703,0.22739078445452826,0.17741488810754316,0.14629141854890035,0.6630255905435795,0.36797297053440925,0.24365049351371904,0.18439465562472476,0.145835318251746,0.7342740048567722,0.4006335984419501,0.2555126545281984,0.18069837646806597,0.11911731263805363
asian,85,1.0,0.02,17.628065427807815,0.611672653276481,0.34912873883232426,0.24259712247601906,0.19457997507582522,0.16547147882471763,0.5816866641084348,0.33010350196380733,0.22729748167087627,0.1805485693887929,0.15195755327431698,0.629172062436098,0.35412306939292304,0.24053973055442895,0.18814962902298965,0.15560200752198544,0.7057997982483005,0.3930801631521788,0.261973605532405,0.20001503843076862,0.1602206714197858,0.8065645915947808,0.4444574041269173,0.28981321812696564,0.21380887888418054,0.16093599600607025
asian,115,1.0,0.02,1.1748890879236036,0.5402635056131386,0.3082255791700785,0.21402015526503426,0.17153067604418382,0.14575699739227238,0.45534820523597624,0.25778599891669207,0.17682614463862725,0.13988484863081718,0.11721751139032792,0.48577297346493387,0.2714458449069552,0.1821369250500786,0.14043357695130168,0.11416183683353108,0.5888726563154612,0.3242024717027121,0.21132050529846616,0.15628372597990395,0.11898513893481327,0.7085636663257302,0.38483224935777427,0.2426892449658232,0.16713441146776428,0.08334325607713368
asian,100,1.0,0.02,6.6750238914980855,0.563475531720693,0.32151818284914674,0.22330377669828755,0.17901577995854545,0.15215690778639762,0.5592889866205646,0.31727180269744837,0.2183303672840544,0.17331391606768232,0.14576766295715646,0.5842501533112963,0.3282257218914936,0.22225225655207148,0.17321875873615192,0.1426504575726564,0.6414567480519314,0.3552782041235794,0.23433292876788006,0.17637954864969374,0.1383382017870099,0.7421156729197436,0.4054267976571564,0.2593440518909186,0.18458318587631337,0.12518545300907086
asian,100,0.75,0.02,5.6397975836492815,0.568394532015467,0.3243358688898752,0.22527185896418386,0.18060294244219627,0.15351402610671314,0.46810345384413443,0.26507972515285544,0.18190830899363067,0.1439725473049172,0.12070336287650614,0.48984051955409696,0.2737913794306076,0.18379444584576163,0.14178967529163886,0.11534206102553841,0.5972592816829737,0.3291727570666428,0.21502409879078488,0.15955412602179686,0.12220686080807153,0.7515564750442414,0.4111829862346632,0.2639151095518501,0.18913957669432704,0.13165248045933264
asian,105,1.0,0.02,4.013454229266008,0.5496769411052299,0.3136160411687835,0.21778439287333123,0.17456532881305156,0.1483510632630897,0.5091815295770244,0.28858140939264837,0.1982975163247606,0.15716618697753798,0.13196521786265908,0.5527356495032647,0.31005646777611284,0.20941895897016757,0.16273617171691426,0.1335503063786765,0.637415477215743,0.35289665725060104,0.23258025820699546,0.17486527512376684,0.13691051565158033,0.7528784284970473,0.41198786016574585,0.2645516689961335,0.18976801389355907,0.13250299144594269
asian,105,0.75,0.02,3.2255297702240453,0.5070359573720382,0.2892029325445659,0.2007409096077792,0.16082882696201176,0.13661131616050756,0.44075508387793105,0.2494436945998333,0.17101623271189198,0.13521437843131787,0.11323653137739417,0.48129042808447825,0.2688609702682738,0.18030963156466787,0.13893888233071702,0.11286075504376374,0.5765688928371007,0.3168993849079218,0.20585856892808505,0.15142939812041875,0.11413139182481592,0.718341183072595,0.39085779793903386,0.24761693921520425,0.17246529713090158,0.10286540617930463
asian,110,1.0,0.02,3.9912392679587683,0.6601006433166021,0.3768835003622411,0.26200417850633845,0.2102467787975616,0.17888329879769196,0.6655151210292262,0.37816075257663523,0.2609164631636422,0.2077017257742701,0.17521548811029,0.6895254659796453,0.3889138963764046,0.26510090465439434,0.2081926767495709,0.17297357070626973,0.7428139215169199,0.4147465199710185,0.27769674306640746,0.21330544787383415,0.17229189996101263,0.828945581888497,0.457889886131357,0.3000722463140135,0.22320683479602327,0.1708442108910185
asian,100,1.0,0.02,6.182667219039765,0.5473193634929753,0.3122659736128792,0.21684156006450775,0.1738051917881763,0.14770142145278636,0.5120033089630068,0.29019647761501066,0.19942454235781237,0.1580740524751323,0.1327407122155476,0.5405242350037883,0.30301583346422845,0.2044452389358123,0.15867222853036467,0.13002040230686113,0.6102838454424503,0.3368803245259001,0.22074890816393838,0.1645786424254067,0.12709376476857512,0.7281560268144384,0.39688595757793,0.25249929049348235,0.17759550639700375,0.11371955878128368
asian,115,1.0,0.02,1.01598036609234,0.4352955573103767,0.24815606942399446,0.17211306688966432,0.13777987713025064,0.11693387023384531,0.4657866405014705,0.26375473768322405,0.18098492076787673,0.14322971932847725,0.12006977503037271,0.5539980006144232,0.3107842807514834,0.20993308205931444,0.16315621021680218,0.13391508281416278,0.6381354787654099,0.35332103152330235,0.23289268694371412,0.17513537297595586,0.13716545762867977,0.7306931769217226,0.3984410001163338,0.2537515998129379,0.17889045457440916,0.11604654506591858
